Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
4-May-16,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,by runs,7.0
5-May-16,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,by wickets,7.0
6-May-16,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,by wickets,5.0
7-May-16,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,by wickets,7.0
7-May-16,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,by runs,9.0
8-May-16,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,85.0
8-May-16,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,by wickets,5.0
9-May-16,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,by runs,1.0
10-May-16,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,4.0
11-May-16,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,by wickets,6.0
12-May-16,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,by wickets,7.0
13-May-16,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,by wickets,7.0
14-May-16,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,by runs,144.0
14-May-16,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders,by wickets,8.0
15-May-16,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,by wickets,7.0
15-May-16,Mumbai Indians,Delhi Daredevils,Mumbai Indians,by runs,80.0
16-May-16,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,9.0
17-May-16,Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,by runs,19.0
18-May-16,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,by runs,82.0
19-May-16,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,by wickets,6.0
20-May-16,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,by wickets,6.0
21-May-16,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,by wickets,4.0
21-May-16,Gujarat Lions,Mumbai Indians,Gujarat Lions,by wickets,6.0
22-May-16,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,by runs,22.0
22-May-16,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,6.0
24-May-16,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,4.0
25-May-16,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,by runs,22.0
27-May-16,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,by wickets,4.0
29-May-16,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,8.0
