Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,
34,DS Lehmann,5-Feb-70,Left_Hand,Slow left-arm orthodox,Australia,0,
35,RA Jadeja,6-Dec-88,Left_Hand,Slow left-arm orthodox,India,0,
36,M Rawat,25-Oct-85,Right_Hand,NULL,India,0,
37,D Salunkhe,12-Nov-82,Right_Hand,Legbreak,India,0,
38,SK Warne,13-Sep-69,Right_Hand,Legbreak googly,Australia,0,
39,SK Trivedi,4-Sep-82,Right_Hand,Right-arm medium,India,0,
40,G Gambhir,14-Oct-81,Left_Hand,Legbreak,India,0,
41,V Sehwag,20-Oct-78,Right_Hand,Right-arm offbreak,India,0,
42,S Dhawan,5-Dec-85,Left_Hand,Right-arm offbreak,India,0,
43,L Ronchi,23-Apr-81,Right_Hand,NULL,Australia,0,
44,ST Jayasuriya,30-Jun-69,Left_Hand,Slow left-arm orthodox,Sri Lanka,0,
45,DJ Thornely,1-Oct-78,Right_Hand,Right-arm medium,Australia,0,
46,RV Uthappa,11-Nov-85,Right_Hand,Right-arm medium,India,0,
47,PR Shah,3-Nov-87,Right_Hand,NULL,India,0,
48,AM Nayar,8-Oct-83,Left_Hand,Right-arm medium,India,0,
49,SM Pollock,16-Jul-73,Right_Hand,Right-arm fast-medium,South Africa,0,
50,Harbhajan Singh,3-Jul-80,Right_Hand,Right-arm offbreak,India,0,
51,S Chanderpaul,16-Aug-74,Left_Hand,Legbreak,West Indies,0,
52,LRPL Taylor,8-Mar-84,Right_Hand,Right-arm offbreak,New Zealand,0,
53,AC Gilchrist,14-Nov-71,Left_Hand,Right-arm offbreak,Australia,0,
54,Y Venugopal Rao,26-Feb-82,Right_Hand,Right-arm offbreak,India,0,
55,VVS Laxman,1-Nov-74,Right_Hand,Right-arm offbreak,India,0,
56,A Symonds,9-Jun-75,Right_Hand,Right-arm offbreak,Australia,0,
57,RG Sharma,30-Apr-87,Right_Hand,Right-arm offbreak,India,0,
58,SB Styris,10-Jul-75,Right_Hand,Right-arm medium,New Zealand,0,
59,SB Bangar,11-Oct-72,Right_Hand,Right-arm medium-fast,India,0,
60,WPUJC Vaas,27-Jan-74,Left_Hand,Left-arm fast-medium,Sri Lanka,0,
61,RP Singh,6-Dec-85,Right_Hand,Left-arm fast-medium,India,0,
62,WP Saha,24-Oct-84,Right_Hand,NULL,India,0,
63,LR Shukla,6-May-81,Right_Hand,Right-arm medium,India,0,
64,DPMD Jayawardene,27-May-77,Right_Hand,Right-arm medium,Sri Lanka,0,
65,S Sohal,10-Nov-87,Right_Hand,Legbreak,India,0,
66,B Lee,8-Nov-76,Right_Hand,Right-arm fast,Australia,0,
67,PP Chawla,24-Dec-88,Left_Hand,Legbreak,India,0,
68,WA Mota,20-Sep-81,Right_Hand,Right-arm medium,India,0,
69,Kamran Akmal,13-Jan-82,Right_Hand,NULL,Pakistan,0,
70,Shahid Afridi,1-Mar-80,Right_Hand,Legbreak googly,Pakistan,0,
71,DJ Bravo,7-Oct-83,Right_Hand,Right-arm medium-fast,West Indies,0,
72,MA Khote,22-Apr-80,Right_Hand,Right-arm medium,India,0,
73,A Nehra,29-Apr-79,Right_Hand,Left-arm medium-fast,India,0,
74,GC Smith,1-Feb-81,Left_Hand,Right-arm offbreak,South Africa,0,
75,Pankaj Singh,6-May-85,Right_Hand,Right-arm medium-fast,India,0,
76,RR Sarwan,23-Jun-80,Right_Hand,Legbreak,West Indies,0,
77,S Sreesanth,6-Feb-83,Right_Hand,Right-arm fast-medium,India,0,
78,VRV Singh,17-Sep-84,Right_Hand,Right-arm medium-fast,India,0,
79,SS Tiwary,30-Dec-89,Left_Hand,NULL,India,0,
80,DS Kulkarni,10-Dec-88,Right_Hand,Right-arm medium,India,0,
81,R Vinay Kumar,12-Feb-84,Right_Hand,Right-arm medium,India,0,
82,AB Agarkar,4-Dec-77,Right_Hand,Right-arm fast,India,0,
83,M Kartik,11-Sep-76,Left_Hand,Slow left-arm orthodox,India,0,
84,I Sharma,2-Sep-88,Right_Hand,Right-arm fast-medium,India,0,
85,AM Rahane,6-Jun-88,Right_Hand,Right-arm medium,India,0,
86,Shoaib Malik,1-Feb-82,Right_Hand,Right-arm offbreak,Pakistan,0,
87,MK Tiwary,14-Nov-85,Right_Hand,Legbreak googly,India,0,
88,KD Karthik,1-Jun-85,Right_Hand,NULL,India,0,
89,R Bhatia,22-Oct-79,Right_Hand,Right-arm medium-fast,India,0,
90,MF Maharoof,7-Sep-84,Right_Hand,Right-arm fast-medium,India,0,
91,VY Mahesh,21-Dec-87,Right_Hand,Right-arm medium-fast,India,0,
92,TM Srivastava,7-Nov-89,Left_Hand,Right-arm medium,India,0,
93,B Chipli,27-Jan-83,Right_Hand,Right-arm medium,India,0,
94,DW Steyn,27-Jun-83,Right_Hand,Right-arm fast,South Africa,0,
95,DB Das,22-Sep-86,Right_Hand,Legbreak googly,India,0,
96,MK Pandey,10-Sep-89,Right_Hand,Right-arm medium,India,0,
97,HH Gibbs,23-Feb-74,Right_Hand,Right-arm bowler,South Africa,0,
98,DNT Zoysa,13-May-78,Left_Hand,Left-arm fast-medium,Sri Lanka,0,
99,D Kalyankrishna,16-Dec-83,Right_Hand,Right-arm medium-fast,India,0,
100,SE Marsh,9-Jul-83,Left_Hand,Slow left-arm orthodox,Australia,0,
101,SA Asnodkar,29-Mar-84,Right_Hand,Right-arm offbreak,India,0,
102,Sohail Tanvir,12-Dec-84,Left_Hand,Left-arm medium-fast,Pakistan,0,
103,Salman Butt,7-Oct-84,Left_Hand,Right-arm offbreak,Pakistan,0,
104,BJ Hodge,29-Dec-74,Right_Hand,Right-arm offbreak,Australia,0,
105,Umar Gul,14-Apr-84,Right_Hand,Right-arm fast-medium,Pakistan,0,
106,AB Dinda,25-Mar-84,Right_Hand,Right-arm medium-fast,India,0,
107,SP Fleming,1-Apr-73,Left_Hand,NULL,New Zealand,0,
108,S Vidyut,3-Dec-81,Left_Hand,Slow left-arm orthodox,India,0,
109,JA Morkel,10-Jun-81,Left_Hand,Right-arm medium-fast,South Africa,0,
110,AB de Villiers,17-Feb-84,Right_Hand,Right-arm medium,South Africa,0,
111,LPC Silva,14-Dec-79,Right_Hand,Legbreak,Sri Lanka,0,
112,DB Ravi Teja,5-Sep-87,Right_Hand,Legbreak googly,India,0,
113,Misbah-ul-Haq,28-May-74,Right_Hand,Legbreak,Pakistan,0,
114,YV Takawale,5-Nov-84,Right_Hand,NULL,India,0,
115,RR Raje,3-Sep-86,Right_Hand,Right-arm fast-medium,India,0,
116,PJ Sangwan,5-Nov-90,Right_Hand,Left-arm medium,India,0,
117,Mohammad Asif,20-Dec-82,Left_Hand,Right-arm fast-medium,Pakistan,0,
118,GD McGrath,9-Feb-70,Right_Hand,Right-arm fast-medium,Australia,0,
119,Joginder Sharma,23-Oct-83,Right_Hand,Right-arm fast-medium,India,0,
120,MS Gony,4-Jan-84,Right_Hand,Right-arm medium,India,0,
121,M Muralitharan,17-Apr-72,Right_Hand,Right-arm offbreak,Sri Lanka,0,
122,M Ntini,6-Jul-77,Right_Hand,Right-arm fast,South Africa,0,
123,DT Patil,6-Dec-84,Right_Hand,NULL,India,0,
124,A Kumble,17-Oct-70,Right_Hand,Legbreak googly,India,0,
125,S Anirudha,14-Apr-87,Right_Hand,NULL,India,0,
126,MM Patel,12-Jul-83,Right_Hand,Right-arm medium-fast,India,0,
127,CK Kapugedera,24-Feb-87,Right_Hand,Right-arm medium,Sri Lanka,0,
128,A Chopra,19-Sep-77,Right_Hand,Right-arm offbreak,India,0,
129,T Taibu,14-May-83,Right_Hand,Right-arm medium,Zimbabwea,0,
130,J Arunkumar,18-Jan-75,Right_Hand,Right-arm offbreak,India,0,
131,PP Ojha,5-Sep-86,Left_Hand,Slow left-arm orthodox,India,0,
132,SP Goswami,18-May-89,Left_Hand,NULL,India,0,
133,SR Tendulkar,24-Apr-73,Right_Hand,Right-arm offbreak,India,0,
134,U Kaul,2-Dec-87,Left_Hand,NULL,India,0,
135,TM Dilshan,14-Oct-76,Right_Hand,Right-arm offbreak,Sri Lanka,0,
136,A Mishra,24-Nov-82,Right_Hand,Legbreak,India,0,
137,AD Mascarenhas,30-Oct-77,Right_Hand,Right-arm fast-medium,England,0,
138,NK Patel,26-Mar-81,Left_Hand,NULL,India,0,
139,LA Pomersbach,28-Sep-84,Left_Hand,Right-arm offbreak,Australia,0,
140,Iqbal Abdulla,2-Dec-89,Left_Hand,Slow left-arm orthodox,India,0,
141,Younis Khan,29-Nov-77,Right_Hand,Right-arm medium,Pakistan,0,
142,PM Sarvesh Kumar,26-Apr-89,Right_Hand,Right-arm medium,India,0,
143,DP Vijaykumar,20-Oct-86,Right_Hand,Right-arm medium,India,0,
144,Shoaib Akhtar,13-Aug-75,Right_Hand,Right-arm fast,Pakistan,0,
145,Abdur Razzak,15-Jun-82,Left_Hand,Slow left-arm orthodox,Bangladesh,0,
146,H Das,10-Dec-86,Right_Hand,NULL,India,0,
147,DR Smith,12-Apr-83,Right_Hand,Right-arm medium,West Indies,0,
148,SD Chitnis,6-May-87,Right_Hand,Right-arm offbreak,India,0,
149,CRD Fernando,19-Jul-79,Right_Hand,Right-arm fast-medium,Sri Lanka,0,
150,VS Yeligati,23-Apr-85,Right_Hand,Right-arm offbreak,India,0,
151,L Balaji,27-Sep-81,Right_Hand,Right-arm medium-fast,India,0,
152,A Mukund,6-Jan-90,Left_Hand,Legbreak googly,India,0,
153,RR Powar,20-May-78,Right_Hand,Right-arm offbreak,India,0,
154,JP Duminy,14-Apr-84,Left_Hand,Right-arm offbreak,South Africa,0,
155,A Flintoff,6-Dec-77,Right_Hand,Right-arm fast-medium,England,0,
156,T Thushara,1-Mar-81,Left_Hand,Left-arm fast-medium,Sri Lanka,0,
157,JD Ryder,6-Aug-84,Left_Hand,Right-arm medium,New Zealand,0,
158,KP Pietersen,27-Jun-80,Right_Hand,Right-arm offbreak,South Africa,0,
159,T Henderson,1-Aug-74,Right_Hand,Right-arm fast-medium,South Africa,0,
160,Kamran Khan,10-Mar-91,Left_Hand,Left-arm medium-fast,India,0,
161,RS Bopara,4-May-85,Right_Hand,Right-arm medium,England,0,
162,CH Gayle,21-Sep-79,Left_Hand,Right-arm offbreak,West Indies,0,
163,MC Henriques,1-Feb-87,Right_Hand,Right-arm fast-medium,Australia,0,
164,R Bishnoi,8-Oct-87,Right_Hand,Right-arm medium-fast,India,0,
165,FH Edwards,6-Feb-82,Right_Hand,Right-arm fast,West Indies,0,
166,KV Sharma,23-Oct-87,Left_Hand,Legbreak googly,India,0,
167,PC Valthaty,7-Dec-83,Right_Hand,Right-arm medium,India,0,
168,RJ Quiney,20-Aug-82,Left_Hand,Right-arm medium,Australia,0,
169,AS Raut,3-Mar-87,Right_Hand,Legbreak googly,India,0,
170,Yashpal Singh,27-Nov-81,Right_Hand,Right-arm medium,India,0,
171,M Manhas,12-Oct-79,Right_Hand,Right-arm offbreak,India,0,
172,AA Bilakhia,31-May-86,Right_Hand,Right-arm medium,India,0,
173,AN Ghosh,19-Oct-86,Right_Hand,Right-arm medium,India,0,
174,BAW Mendis,11-Mar-85,Right_Hand,Right-arm offbreak,Sri Lanka,0,
175,DL Vettori,27-Jan-79,Left_Hand,Slow left-arm orthodox,New Zealand,0,
176,MN van Wyk,20-Mar-79,Right_Hand,Slow left-arm orthodox,South Africa,0,
177,RE van der Merwe,31-Dec-84,Right_Hand,Slow left-arm orthodox,South Africa,0,
178,TL Suman,15-Dec-83,Right_Hand,Right-arm offbreak,India,0,
179,Shoaib Ahmed,17-Aug-90,Right_Hand,Right-arm fast-medium,Pakistan,0,
180,GR Napier,6-Jan-80,Right_Hand,Right-arm medium,England,0,
181,KP Appanna,20-Dec-88,Right_Hand,Slow left-arm orthodox,India,0,
182,LA Carseldine,17-Nov-75,Left_Hand,Left-arm medium,Australia,0,
183,NV Ojha,20-Jul-83,Right_Hand,NULL,India,0,
184,SM Harwood,1-Mar-74,Right_Hand,Right-arm fast-medium,Australia,0,
185,M Vijay,1-Apr-84,Right_Hand,Right-arm offbreak,India,0,
186,SB Jakati,27-Nov-80,Left_Hand,Slow left-arm orthodox,India,0,
187,DA Warner,27-Oct-86,Left_Hand,Legbreak,Australia,0,
188,RJ Harris,11-Oct-79,Right_Hand,Right-arm fast,Australia,0,
189,D du Preez,8-Nov-81,Right_Hand,Right-arm fast-medium,South Africa,0,
190,M Morkel,6-Oct-84,Left_Hand,Right-arm fast,South Africa,0,
191,AD Mathews,2-Jun-87,Right_Hand,Right-arm fast-medium,Sri Lanka,0,
192,J Botha,2-May-82,Right_Hand,Right-arm offbreak,South Africa,0,
193,C Nanda,29-Mar-79,Right_Hand,Legbreak,India,0,
194,SL Malinga,28-Aug-83,Right_Hand,Right-arm fast,Sri Lanka,0,
195,Mashrafe Mortaza,5-Oct-83,Right_Hand,Right-arm fast-medium,Bangladesh,0,
196,A Singh,21-Jun-81,Right_Hand,Right-arm medium-fast,India,0,
197,GJ Bailey,7-Sep-82,Right_Hand,Right-arm medium,Australia,0,
198,AB McDonald,5-Jun-81,Right_Hand,Right-arm fast-medium,Australia,0,
199,Y Nagar,6-Jan-90,Right_Hand,Right-arm offbreak,India,0,
200,SS Shaikh,18-Jan-87,Right_Hand,Right-arm medium,India,0,
201,R Ashwin,17-Sep-86,Right_Hand,Right-arm offbreak,India,0,
202,Mohammad Ashraful,7-Jul-84,Right_Hand,Right-arm offbreak,Bangladesh,0,
203,CA Pujara,25-Jan-88,Right_Hand,Legbreak,India,0,
204,OA Shah,22-Oct-78,Right_Hand,Right-arm offbreak,England,0,
205,Anirudh Singh,2-Aug-80,Left_Hand,Right-arm medium,India,0,
206,Jaskaran Singh,4-Sep-89,Right_Hand,Right-arm medium,India,0,
207,AP Tare,7-Nov-87,Right_Hand,NULL,India,0,
208,AT Rayudu,23-Sep-85,Right_Hand,Right-arm offbreak,India,0,
209,R Sathish,14-Jan-81,Right_Hand,Right-arm medium,India,0,
210,R McLaren,9-Feb-83,Left_Hand,Right-arm medium-fast,South Africa,0,
211,AA Jhunjhunwala,1-Dec-82,Right_Hand,Right-arm offbreak,India,0,
212,P Dogra,19-Nov-84,Right_Hand,Legbreak,India,0,
213,A Uniyal,21-Nov-81,Left_Hand,Left-arm medium,India,0,
214,MS Bisla,27-Dec-84,Right_Hand,NULL,India,0,
215,YA Abdulla,17-Jan-83,Left_Hand,Left-arm fast-medium,India,0,
216,EJG Morgan,10-Sep-86,Left_Hand,Right-arm medium,England,0,
217,JM Kemp,2-Oct-77,Right_Hand,Right-arm fast-medium,South Africa,0,
218,S Tyagi,17-Sep-87,Right_Hand,Right-arm medium,India,0,
219,RS Gavaskar,20-Feb-76,Left_Hand,Slow left-arm orthodox,India,0,
220,SE Bond,7-Jun-75,Right_Hand,Right-arm fast,New Zealand,0,
221,KA Pollard,12-May-87,Right_Hand,Right-arm medium-fast,West Indies,0,
222,S Ladda,10-Jul-86,Right_Hand,Legbreak,India,0,
223,DP Nannes,16-May-76,Right_Hand,Left-arm fast,Australia,0,
224,MJ Lumb,12-Feb-80,Left_Hand,Right-arm medium,England,0,
225,DR Martyn,21-Oct-71,Right_Hand,Right-arm medium,Australia,0,
226,S Narwal,16-Apr-82,Left_Hand,Right-arm medium,India,0,
227,AB Barath,14-Apr-90,Right_Hand,Right-arm offbreak,India,0,
228,Bipul Sharma,28-Sep-83,Left_Hand,Slow left-arm orthodox,India,0,
229,FY Fazal,7-Sep-85,Left_Hand,Right-arm medium,India,0,
230,AC Voges,4-Oct-79,Right_Hand,Slow left-arm orthodox,Australia,0,
231,MD Mishra,9-Feb-84,Right_Hand,Right-arm offbreak,India,0,
232,UT Yadav,25-Oct-87,Right_Hand,Right-arm fast-medium,India,0,
233,J Theron,24-Jul-85,Right_Hand,Right-arm medium-fast,South Africa,0,
234,SJ Srivastava,22-Sep-81,Right_Hand,Left-arm fast-medium,India,0,
235,R Sharma,30-Apr-87,Right_Hand,Right-arm offbreak,India,0,
236,Mandeep Singh,18-Dec-91,Right_Hand,Right-arm medium,India,0,
237,KM Jadhav,26-Mar-85,Right_Hand,Right-arm offbreak,India,0,
238,SW Tait,22-Feb-83,Right_Hand,Right-arm fast,Australia,0,
239,KB Arun Karthik,15-Feb-86,Right_Hand,Legbreak googly,India,0,
240,KAJ Roach,30-Jun-88,Right_Hand,Right-arm fast,West Indies,0,
241,PD Collingwood,26-May-76,Right_Hand,Right-arm medium,England,0,
242,CK Langeveldt,17-Dec-74,Right_Hand,Right-arm fast-medium,England,0,
243,VS Malik,9-May-83,Right_Hand,Right-arm medium,India,0,
244,A Mithun,25-Oct-89,Right_Hand,Right-arm medium,India,0,
245,AP Dole,9-Oct-87,Right_Hand,Right-arm medium-fast,India,0,
246,AN Ahmed,5-Nov-88,Right_Hand,Right-arm medium-fast,India,0,
247,RS Sodhi,18-Oct-80,Right_Hand,Right-arm medium,India,0,
248,DE Bollinger,24-Jul-81,Left_Hand,Left-arm fast-medium,Australia,0,
249,S Sriram,21-Feb-76,Left_Hand,Slow left-arm orthodox,India,0,
250,B Sumanth,10-May-88,Right_Hand,Right-arm medium-fast,India,0,
251,C Madan,15-Oct-82,Right_Hand,NULL,India,0,
252,AG Paunikar,18-Apr-88,Right_Hand,NULL,India,0,
253,MR Marsh,20-Oct-91,Right_Hand,Right-arm medium,Australia,0,
254,AJ Finch,17-Nov-86,Right_Hand,Slow left-arm orthodox,Australia,0,
255,STR Binny,3-Jun-84,Right_Hand,Right-arm medium,India,0,
256,Harmeet Singh,7-Sep-92,Left_Hand,Slow left-arm orthodox,India,0,
257,IR Jaggi,27-Jan-89,Right_Hand,Legbreak googly,India,0,
258,DT Christian,4-May-83,Right_Hand,Right-arm fast-medium,Australia,0,
259,RV Gomez,16-Oct-85,Right_Hand,Right-arm medium,India,0,
260,MA Agarwal,16-Feb-91,Right_Hand,NULL,India,0,
261,AUK Pathan,17-Jun-84,Right_Hand,Right-arm medium,India,0,
262,UBT Chand,26-Mar-93,Right_Hand,Right-arm offbreak,India,0,
263,DJ Jacobs,4-Nov-82,Right_Hand,Right-arm medium,South Africa,0,
264,Sunny Singh,18-Dec-86,Right_Hand,Right-arm medium-fast,India,0,
265,NJ Rimmington,11-Nov-82,Right_Hand,Right-arm fast-medium,Australia,0,
266,AL Menaria,29-Oct-90,Left_Hand,Slow left-arm orthodox,India,0,
267,WD Parnell,30-Jul-89,Left_Hand,Left-arm medium-fast,South Africa,0,
268,JJ van der Wath,10-Jan-78,Right_Hand,Right-arm medium-fast,South Africa,0,
269,R Ninan,19-Nov-85,Right_Hand,Right-arm offbreak,India,0,
270,S Aravind,8-Apr-84,Left_Hand,Left-arm medium-fast,India,0,
271,MS Wade,26-Dec-87,Left_Hand,Right-arm medium,Australia,0,
272,TD Paine,8-Dec-84,Right_Hand,Right-arm medium,Australia,0,
273,SB Wagh,9-Oct-88,Left_Hand,Left-arm medium-fast,India,0,
274,AC Thomas,9-Feb-77,Right_Hand,Right-arm fast-medium,England,0,
275,JEC Franklin,7-Nov-80,Left_Hand,Left-arm medium,New Zealand,0,
276,Shakib Al Hasan,24-Mar-87,Left_Hand,Slow left-arm orthodox,Bangladesh,0,
277,DH Yagnik,22-Jun-83,Left_Hand,NULL,India,0,
278,S Randiv,30-Jan-85,Right_Hand,Right-arm offbreak,Sri Lanka,0,
279,BJ Haddin,23-Oct-77,Right_Hand,NULL,Australia,0,
280,NLTC Perera,3-Apr-89,Left_Hand,Right-arm medium-fast,Sri Lanka,0,
281,NL McCullum,1-Sep-80,Right_Hand,Right-arm offbreak,New Zealand,0,
282,JE Taylor,22-Jun-84,Right_Hand,Right-arm fast,New Zealand,0,
283,J Syed Mohammad,3-Jun-83,Left_Hand,Slow left-arm orthodox,India,0,
284,RN ten Doeschate,30-Jun-80,Right_Hand,Right-arm medium-fast,Netherlands,0,
285,TR Birt,9-Dec-81,Left_Hand,Right-arm medium,Australia,0,
286,AG Murtaza,1-Jan-90,Left_Hand,Slow left-arm orthodox,India,0,
287,Harpreet Singh,11-Aug-91,Left_Hand,Right-arm medium,India,0,
288,M Klinger,4-Jul-80,Right_Hand,NULL,Australia,0,
289,AC Blizzard,27-Jun-84,Left_Hand,Left-arm medium,Australia,0,
290,I Malhotra,23-May-84,Right_Hand,Right-arm medium-fast,India,0,
291,L Ablish,3-Dec-82,Right_Hand,Right-arm medium-fast,India,0,
292,CA Ingram,3-Jul-85,Left_Hand,Legbreak,South Africa,0,
293,S Nadeem,12-Aug-89,Right_Hand,Slow left-arm orthodox,India,0,
294,P Parameswaran,30-May-85,Right_Hand,Left-arm medium,India,0,
295,CJ Ferguson,21-Nov-84,Right_Hand,Right-arm medium,Australia,0,
296,VR Aaron,29-Oct-89,Right_Hand,Right-arm fast,India,0,
297,AA Chavan,28-Oct-85,Left_Hand,Slow left-arm orthodox,India,0,
298,ND Doshi,6-Oct-78,Right_Hand,Slow left-arm orthodox,India,0,
299,B Kumar,5-Feb-90,Right_Hand,Right-arm medium,India,0,
300,Y Gnaneswara Rao,25-Aug-84,Right_Hand,Right-arm medium,India,0,
301,S Rana,18-Sep-84,Right_Hand,Right-arm medium-fast,India,0,
302,BA Bhatt,13-May-90,Left_Hand,Slow left-arm orthodox,India,0,
303,F du Plessis,13-Jul-84,Right_Hand,Legbreak,South Africa,0,
304,RE Levi,14-Jan-88,Right_Hand,Right-arm medium,South Africa,0,
305,GJ Maxwell,14-Oct-88,Right_Hand,Right-arm offbreak,Australia,0,
306,SPD Smith,2-Jun-89,Right_Hand,Legbreak googly,India,0,
307,MN Samuels,5-Feb-81,Right_Hand,Right-arm offbreak,West Indies,0,
308,SA Yadav,14-Sep-90,Right_Hand,Right-arm offbreak,India,0,
309,KK Cooper,16-Feb-89,Right_Hand,Right-arm medium,West Indies,0,
310,JP Faulkner,29-Apr-90,Right_Hand,Left-arm fast-medium,Australia,0,
311,HV Patel,23-Nov-90,Right_Hand,Right-arm medium,India,0,
312,DAJ Bracewell,28-Sep-90,Right_Hand,Right-arm fast-medium,New Zealand,0,
313,DJ Harris,31-Dec-79,Right_Hand,Right-arm medium,Australia,0,
314,Ankit Sharma,20-Apr-91,Left_Hand,Slow left-arm orthodox,India,0,
315,SP Narine,26-May-88,Left_Hand,Right-arm offbreak,West Indies,0,
316,GB Hogg,6-Feb-71,Left_Hand,Slow left-arm chinaman,Australia,0,
317,RR Bhatkal,1-Sep-85,Right_Hand,Right-arm medium,India,0,
318,CJ McKay,20-Feb-83,Right_Hand,Right-arm fast-medium,Australia,0,
319,N Saini,28-Oct-88,Right_Hand,NULL,India,0,
320,DA Miller,10-Jun-89,Left_Hand,Right-arm offbreak,South Africa,0,
321,Azhar Mahmood,28-Feb-75,Right_Hand,Right-arm fast-medium,Pakistan,0,
322,P Negi,6-Jan-93,Left_Hand,Slow left-arm orthodox,India,0,
323,RJ Peterson,4-Aug-79,Left_Hand,Slow left-arm orthodox,South Africa,0,
324,KMDN Kulasekara,22-Jul-82,Right_Hand,Right-arm fast-medium,Sri Lanka,0,
325,A Ashish Reddy,24-Feb-91,Right_Hand,Right-arm medium,India,0,
326,V Pratap Singh,3-May-92,Right_Hand,Right-arm medium,India,0,
327,BB Samantray,14-Dec-88,Right_Hand,NULL,India,0,
328,MJ Clarke,2-Apr-81,Right_Hand,Slow left-arm orthodox,Australia,0,
329,Gurkeerat Singh,29-Jun-90,Right_Hand,Right-arm offbreak,India,0,
330,AP Majumdar,30-Apr-84,Right_Hand,Legbreak googly,India,0,
331,PA Reddy,11-Feb-91,Right_Hand,Legbreak,India,0,
332,K Upadhyay,18-Jun-86,Right_Hand,Right-arm medium,India,0,
333,P Awana,19-Jul-86,Right_Hand,Right-arm medium,India,0,
334,AD Russell,29-Apr-88,Right_Hand,Right-arm fast,West Indies,0,
335,A Chandila,5-Dec-83,Right_Hand,Right-arm offbreak,India,0,
336,CA Lynn,10-Apr-90,Right_Hand,Slow left-arm orthodox,Australia,0,
337,Sunny Gupta,27-Sep-88,Right_Hand,Right-arm offbreak,India,0,
338,MC Juneja,12-Sep-90,Right_Hand,Right-arm offbreak,India,0,
339,KK Nair,6-Dec-91,Right_Hand,Right-arm offbreak,India,0,
340,GH Vihari,13-Oct-93,Right_Hand,Right-arm offbreak,India,0,
341,MDKJ Perera,17-Aug-90,Left_Hand,NULL,Sri Lanka,0,
342,R Shukla,28-Aug-90,Right_Hand,Right-arm medium,India,0,
343,B Laughlin,3-Oct-82,Right_Hand,Right-arm fast-medium,Australia,0,
344,AS Rajpoot,4-Dec-93,Right_Hand,Right-arm medium,India,0,
345,M Vohra,18-Jul-93,Right_Hand,Right-arm medium,India,0,
346,JD Unadkat,18-Oct-91,Right_Hand,Left-arm medium,India,0,
347,Mohammed Shami,3-Sep-90,Right_Hand,Right-arm fast-medium,India,0,
348,BMAJ Mendis,15-Jan-83,Left_Hand,Legbreak,Sri Lanka,0,
349,R Rampaul,15-Oct-84,Left_Hand,Right-arm fast-medium,West Indies,0,
350,CH Morris,30-Apr-87,Right_Hand,Right-arm fast-medium,South Africa,0,
