Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
29-Apr-15,Royal Challengers Bangalore,Rajasthan Royals,,No Result,
28-Apr-15,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,by runs,2.0
1-May-15,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,by wickets,9.0
1-May-15,Mumbai Indians,Rajasthan Royals,Mumbai Indians,by runs,8.0
2-May-15,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,by wickets,7.0
2-May-15,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,by runs,22.0
3-May-15,Kings XI Punjab,Mumbai Indians,Mumbai Indians,by runs,23.0
3-May-15,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,by runs,14.0
4-May-15,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,by runs,24.0
4-May-15,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,by runs,35.0
5-May-15,Mumbai Indians,Delhi Daredevils,Mumbai Indians,by wickets,5.0
6-May-15,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,by runs,138.0
7-May-15,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,7.0
8-May-15,Chennai Super Kings,Mumbai Indians,Mumbai Indians,by wickets,6.0
9-May-15,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,by wickets,1.0
9-May-15,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,6.0
10-May-15,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,by runs,39.0
10-May-15,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,by runs,12.0
11-May-15,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,by runs,5.0
12-May-15,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,by wickets,6.0
13-May-15,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,by runs,22.0
14-May-15,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,by runs,5.0
15-May-15,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,6.0
16-May-15,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,by wickets,7.0
16-May-15,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,by runs,9.0
17-May-15,Royal Challengers Bangalore,Delhi Daredevils,,No Result,
17-May-15,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,by wickets,9.0
19-May-15,Chennai Super Kings,Mumbai Indians,Mumbai Indians,by runs,25.0
20-May-15,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,by runs,71.0
22-May-15,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,by wickets,3.0
24-May-15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,by runs,41.0
