Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
19-May-14,Rajasthan Royals,Mumbai Indians,Mumbai Indians,by runs,25.0
19-May-14,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,by wickets,4.0
20-May-14,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,by wickets,7.0
20-May-14,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,by wickets,8.0
21-May-14,Kings XI Punjab,Mumbai Indians,Mumbai Indians,by wickets,7.0
22-May-14,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,by runs,30.0
22-May-14,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,by wickets,6.0
23-May-14,Mumbai Indians,Delhi Daredevils,Mumbai Indians,by runs,15.0
23-May-14,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,by runs,16.0
24-May-14,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,by wickets,8.0
24-May-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,by wickets,4.0
25-May-14,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,by wickets,7.0
25-May-14,Mumbai Indians,Rajasthan Royals,Mumbai Indians,by wickets,5.0
27-May-14,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,by runs,28.0
28-May-14,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,by wickets,7.0
30-May-14,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,by runs,24.0
1-Jun-14,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,by wickets,3.0
