Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
31-Mar-10,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,by runs,67.0
1-Apr-10,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,by runs,24.0
2-Apr-10,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,6.0
3-Apr-10,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,by runs,23.0
3-Apr-10,Mumbai Indians,Kochi Tuskers Kerala,Mumbai Indians,by runs,63.0
4-Apr-10,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,by wickets,8.0
4-Apr-10,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,by runs,37.0
5-Apr-10,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,by runs,2.0
6-Apr-10,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,by runs,24.0
7-Apr-10,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,by wickets,9.0
7-Apr-10,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,by runs,14.0
8-Apr-10,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,by wickets,7.0
9-Apr-10,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,by wickets,6.0
10-Apr-10,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,by wickets,6.0
10-Apr-10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,by wickets,7.0
11-Apr-10,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,by wickets,7.0
11-Apr-10,Rajasthan Royals,Mumbai Indians,Mumbai Indians,by runs,37.0
12-Apr-10,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,by runs,13.0
13-Apr-10,Mumbai Indians,Delhi Daredevils,Mumbai Indians,by runs,39.0
13-Apr-10,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,by wickets,9.0
14-Apr-10,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,by wickets,5.0
15-Apr-10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,by wickets,6.0
16-Apr-10,Kings XI Punjab,Kochi Tuskers Kerala,Kochi Tuskers Kerala,by wickets,5.0
17-Apr-10,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,by runs,57.0
17-Apr-10,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,by wickets,8.0
18-Apr-10,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,by wickets,6.0
18-Apr-10,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,by runs,11.0
19-Apr-10,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,by wickets,9.0
21-Apr-10,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,by runs,35.0
22-Apr-10,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,by runs,38.0
24-Apr-10,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,by wickets,9.0
25-Apr-10,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,by runs,22.0
