Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
19-Apr-13,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,by wickets,5.0
20-Apr-13,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,by wickets,4.0
20-Apr-13,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,by wickets,7.0
21-Apr-13,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,by wickets,9.0
21-Apr-13,Kings XI Punjab,Pune Warriors,Kings XI Punjab,by wickets,7.0
22-Apr-13,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,by wickets,5.0
23-Apr-13,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,by runs,130.0
16-May-13,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,by runs,7.0
24-Apr-13,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,by wickets,5.0
25-Apr-13,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,by wickets,5.0
26-Apr-13,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,by wickets,6.0
27-Apr-13,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,by wickets,8.0
27-Apr-13,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,by runs,58.0
28-Apr-13,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,by runs,14.0
28-Apr-13,Delhi Daredevils,Pune Warriors,Delhi Daredevils,by runs,15.0
29-Apr-13,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,by wickets,4.0
29-Apr-13,Mumbai Indians,Kings XI Punjab,Mumbai Indians,by runs,4.0
30-Apr-13,Pune Warriors,Chennai Super Kings,Chennai Super Kings,by runs,37.0
1-May-13,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,by wickets,7.0
1-May-13,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,by wickets,7.0
2-May-13,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,by runs,15.0
2-May-13,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,by runs,17.0
3-May-13,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,by wickets,8.0
4-May-13,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,by wickets,6.0
14-May-13,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,by wickets,7.0
5-May-13,Mumbai Indians,Chennai Super Kings,Mumbai Indians,by runs,60.0
5-May-13,Rajasthan Royals,Pune Warriors,Rajasthan Royals,by wickets,5.0
9-Apr-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,by wickets,7.0
7-May-13,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,by wickets,9.0
7-May-13,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,by runs,65.0
8-May-13,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,by runs,77.0
9-May-13,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,by wickets,8.0
9-May-13,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,by runs,46.0
10-May-13,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,by runs,4.0
11-May-13,Pune Warriors,Mumbai Indians,Mumbai Indians,by wickets,5.0
11-May-13,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,by runs,30.0
12-May-13,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,by wickets,5.0
12-May-13,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,by wickets,5.0
23-Apr-13,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,by wickets,5.0
13-May-13,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,by wickets,7.0
15-May-13,Kolkata Knight Riders,Pune Warriors,Pune Warriors,by runs,7.0
14-May-13,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,by runs,33.0
15-May-13,Mumbai Indians,Rajasthan Royals,Mumbai Indians,by runs,14.0
6-May-13,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,by wickets,6.0
17-May-13,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,by runs,23.0
18-May-13,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,by runs,50.0
19-May-13,Pune Warriors,Delhi Daredevils,Pune Warriors,by runs,38.0
18-May-13,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,by runs,24.0
19-May-13,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,by wickets,5.0
21-May-13,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,by runs,48.0
22-May-13,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,by wickets,4.0
24-May-13,Mumbai Indians,Rajasthan Royals,Mumbai Indians,by wickets,4.0
26-May-13,Chennai Super Kings,Mumbai Indians,Mumbai Indians,by runs,23.0
